id	symbol	description	A2_rep1	A2_rep2	B2_rep1	B2_rep2	C2_rep1	C2_rep2	D3_rep1	D3_rep2	pUC57_rep1	pUC57_rep2
ENSG00000000003	TSPAN6	"tetraspanin 6"	1905	685	1861	872	2115	1350	2771	1376	2300	1271
ENSG00000000419	DPM1	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"	2214	360	2139	486	2249	662	1492	685	2258	662
ENSG00000000457	SCYL3	"SCY1 like pseudokinase 3"	564	282	594	261	624	268	604	281	624	295
ENSG00000000460	C1orf112	"chromosome 1 open reading frame 112"	738	278	734	296	772	373	882	385	820	409
ENSG00000000971	CFH	"complement factor H"	2893	439	2755	489	2989	569	2834	580	3116	530
ENSG00000001036	FUCA2	"alpha-L-fucosidase 2"	5751	2307	5813	2852	6203	3397	6353	3400	6234	3514
ENSG00000001084	GCLC	"glutamate-cysteine ligase catalytic subunit"	1373	618	1531	769	1448	836	1366	803	1452	829
ENSG00000001167	NFYA	"nuclear transcription factor Y subunit alpha"	1173	445	1548	547	1149	438	1110	492	1048	639
ENSG00000001461	NIPAL3	"NIPA like domain containing 3"	300	175	397	196	289	172	397	171	343	178
ENSG00000001497	LAS1L	"LAS1 like, ribosome biogenesis factor"	1334	748	1245	648	1526	579	1818	590	1594	615
ENSG00000001561	ENPP4	"ectonucleotide pyrophosphatase/phosphodiesterase 4"	320	90	337	103	355	131	290	135	322	159
ENSG00000001617	SEMA3F	"semaphorin 3F"	358	179	341	179	374	136	468	140	389	124
ENSG00000001629	ANKIB1	"ankyrin repeat and IBR domain containing 1"	1466	677	1469	770	1473	721	1622	752	1623	752
ENSG00000001630	CYP51A1	"cytochrome P450 family 51 subfamily A member 1"	901	1198	1065	1202	1039	918	1556	816	1203	912
ENSG00000001631	KRIT1	"KRIT1, ankyrin repeat containing"	1611	501	1757	660	1747	612	1498	618	1828	605
ENSG00000002016	RAD52	"RAD52 homolog, DNA repair protein"	363	167	361	193	386	175	360	168	395	200
ENSG00000002330	BAD	"BCL2 associated agonist of cell death"	156	108	177	119	215	106	204	102	199	100
ENSG00000002549	LAP3	"leucine aminopeptidase 3"	4405	1709	4231	1805	4837	1944	4249	1931	5030	1894
ENSG00000002746	HECW1	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"	210	118	229	131	240	110	232	129	216	128
ENSG00000002822	MAD1L1	"mitotic arrest deficient 1 like 1"	1343	827	1366	844	1413	568	1260	583	1499	553
ENSG00000002834	LASP1	"LIM and SH3 protein 1"	8476	4520	8575	4951	9198	3215	6731	3784	9333	4222
ENSG00000002919	SNX11	"sorting nexin 11"	173	127	203	168	176	142	307	130	215	126
ENSG00000003056	M6PR	"mannose-6-phosphate receptor, cation dependent"	5123	1872	5026	2276	5496	2419	4662	2401	5528	2490
ENSG00000003096	KLHL13	"kelch like family member 13"	256	110	259	167	270	153	298	140	292	190
ENSG00000003137	CYP26B1	"cytochrome P450 family 26 subfamily B member 1"	568	334	527	354	629	217	667	292	583	260
ENSG00000003147	ICA1	"islet cell autoantigen 1"	338	148	355	174	300	171	257	159	258	149
ENSG00000003249	DBNDD1	"dysbindin domain containing 1"	309	137	348	141	305	152	311	153	308	162
ENSG00000003393	ALS2	"ALS2, alsin Rho guanine nucleotide exchange factor"	1965	1002	2250	1108	2252	1060	2179	1084	2248	1093
ENSG00000003400	CASP10	"caspase 10"	501	319	565	301	557	276	605	239	521	258
ENSG00000003402	CFLAR	"CASP8 and FADD like apoptosis regulator"	1649	882	1846	891	1745	731	1757	857	1844	910
ENSG00000003436	TFPI	"tissue factor pathway inhibitor"	6108	1812	6166	2188	6398	2787	5962	2859	6437	2880
ENSG00000003509	NDUFAF7	"NADH:ubiquinone oxidoreductase complex assembly factor 7"	346	99	346	102	328	128	283	137	350	104
ENSG00000003756	RBM5	"RNA binding motif protein 5"	1846	956	1866	1075	1963	918	2043	1000	2035	978
ENSG00000003989	SLC7A2	"solute carrier family 7 member 2"	14477	7031	16725	8017	15105	7391	19108	7310	16416	8159
ENSG00000004059	ARF5	"ADP ribosylation factor 5"	2400	821	2327	917	2502	812	1924	841	2466	903
ENSG00000004142	POLDIP2	"DNA polymerase delta interacting protein 2"	3428	1494	3455	1618	3318	1520	3504	1473	3622	1572
ENSG00000004399	PLXND1	"plexin D1"	4303	3003	4766	2777	4151	1775	3871	2111	4300	2184
ENSG00000004455	AK2	"adenylate kinase 2"	3753	1097	3590	1256	3944	1322	3217	1272	4242	1415
ENSG00000004478	FKBP4	"FK506 binding protein 4"	5664	2460	5269	2686	6164	2474	6953	2544	7031	2582
ENSG00000004487	KDM1A	"lysine demethylase 1A"	6696	2581	6655	2814	7167	2665	6660	2720	7723	2606
ENSG00000004534	RBM6	"RNA binding motif protein 6"	2232	905	2211	947	2483	841	1946	939	2601	875
ENSG00000004700	RECQL	"RecQ like helicase"	1857	835	1959	1009	2106	998	1866	1005	2138	947
ENSG00000004766	VPS50	"VPS50, EARP/GARPII complex subunit"	894	332	909	382	967	421	890	408	950	425
ENSG00000004779	NDUFAB1	"NADH:ubiquinone oxidoreductase subunit AB1"	1291	516	1293	721	1439	886	1838	907	1738	948
ENSG00000004864	SLC25A13	"solute carrier family 25 member 13"	4369	1801	4599	2269	4649	2284	4627	2251	4766	2380
ENSG00000004866	ST7	"suppression of tumorigenicity 7"	1092	363	1103	470	1108	501	977	489	1088	536
ENSG00000004897	CDC27	"cell division cycle 27"	5460	1352	5449	1601	5616	1854	4442	1915	5760	1795
ENSG00000004961	HCCS	"holocytochrome c synthase"	423	144	472	178	456	188	426	208	492	199
ENSG00000004975	DVL2	"dishevelled segment polarity protein 2"	1433	922	1465	1042	1529	825	1812	906	1558	853
ENSG00000005007	UPF1	"UPF1, RNA helicase and ATPase"	4536	2872	4716	3018	4897	2160	5493	2291	5119	2350
ENSG00000005020	SKAP2	"src kinase associated phosphoprotein 2"	577	229	588	317	593	348	514	363	615	364
ENSG00000005022	SLC25A5	"solute carrier family 25 member 5"	6307	2630	6410	3332	6955	3908	9036	4137	7314	4081
ENSG00000005075	POLR2J	"RNA polymerase II subunit J"	1697	270	1549	341	1746	498	1125	514	1714	445
ENSG00000005100	DHX33	"DEAH-box helicase 33"	1151	574	1450	597	1128	524	1253	536	1216	601
ENSG00000005108	THSD7A	"thrombospondin type 1 domain containing 7A"	411	228	483	298	426	261	389	222	397	288
ENSG00000005156	LIG3	"DNA ligase 3"	4569	2261	4599	2261	4834	1826	4660	1839	5139	1879
ENSG00000005175	RPAP3	"RNA polymerase II associated protein 3"	2258	644	2301	727	2400	780	1847	890	2491	835
ENSG00000005189	REXO5	"RNA exonuclease 5"	295	112	280	108	279	105	289	112	332	101
ENSG00000005194	CIAPIN1	"cytokine induced apoptosis inhibitor 1"	1123	616	1164	662	1297	740	1612	762	1295	735
ENSG00000005206	SPPL2B	"signal peptide peptidase like 2B"	547	429	600	399	566	283	653	281	579	250
ENSG00000005339	CREBBP	"CREB binding protein"	1847	1054	2405	1040	1706	702	1781	864	1679	958
ENSG00000005421	PON1	"paraoxonase 1"	552	189	582	259	588	391	807	381	661	342
ENSG00000005436	GCFC2	"GC-rich sequence DNA-binding factor 2"	475	171	496	177	509	179	467	200	499	180
