genotype	remarks	splice_variant	TCONS	oId	TPM	total_TPM
A2	Known	SP7	TCONS_00000001	A2.34542.1	39.4037	4811.5999665
B2	Known	SP7	TCONS_00000001	B2.33586.5	1.5067	5442.0157505
C2	Known	SP7	TCONS_00000001	C2.27771.3	32.5956	4708.105294
D3	Known	SP7	TCONS_00000001	D3.29700.2	15.5845	3972.309417
B2	Known	SP11	TCONS_00000002	B2.33586.12	11.8632	5442.0157505
C2	Known	SP11	TCONS_00000002	C2.27771.16	5.61062	4708.105294
D3	Known	SP11	TCONS_00000002	D3.29700.12	4.01303	3972.309417
A2	Novel	pSP13	TCONS_00000003	A2.34542.12	57.0472	4811.5999665
D3	Novel	pSP13	TCONS_00000003	D3.29700.13	68.1513	3972.309417
A2	CCS	pSP10	TCONS_00000004	A2.34542.2	34.3573	4811.5999665
B2	CCS	pSP10	TCONS_00000004	B2.33586.3	23.2681	5442.0157505
C2	CCS	pSP10	TCONS_00000004	C2.27771.5	8.09695	4708.105294
D3	CCS	pSP10	TCONS_00000004	D3.29700.5	2.63816	3972.309417
A2	CCS	pSP8	TCONS_00000005	A2.34542.3	2.70639	4811.5999665
B2	CCS	pSP8	TCONS_00000005	B2.33586.4	1.68298	5442.0157505
C2	CCS	pSP8	TCONS_00000005	C2.27771.6	1.67218	4708.105294
D3	CCS	pSP8	TCONS_00000005	D3.29700.6	2.33704	3972.309417
A2	Known	SP1	TCONS_00000006	A2.34542.5	709.085	4811.5999665
B2	Known	SP1	TCONS_00000006	B2.33586.7	611	5442.0157505
C2	Known	SP1	TCONS_00000006	C2.27771.11	338.878	4708.105294
D3	Known	SP1	TCONS_00000006	D3.29700.7	662.638	3972.309417
A2	Known	SP9	TCONS_00000007	A2.34542.6	227.351	4811.5999665
B2	Known	SP9	TCONS_00000007	B2.33586.8	234.833	5442.0157505
C2	Known	SP9	TCONS_00000007	C2.27771.12	115.301	4708.105294
D3	Known	SP9	TCONS_00000007	D3.29700.11	34.9994	3972.309417
A2	Known	SP13**	TCONS_00000008	A2.34542.7	92.2638	4811.5999665
B2	Known	SP13**	TCONS_00000008	B2.33586.10	41.0153	5442.0157505
C2	Known	SP13**	TCONS_00000008	C2.27771.14	34.5716	4708.105294
D3	Known	SP13**	TCONS_00000008	D3.29700.8	195.439	3972.309417
A2	Known	SP13	TCONS_00000009	A2.34542.8	72.9895	4811.5999665
B2	Known	SP13	TCONS_00000009	B2.33586.11	19.0319	5442.0157505
C2	Known	SP13	TCONS_00000009	C2.27771.13	54.4802	4708.105294
D3	Known	SP13	TCONS_00000009	D3.29700.9	47.3871	3972.309417
A2	Known	SP6	TCONS_00000010	A2.34542.9	27.4146	4811.5999665
B2	Known	SP6	TCONS_00000010	B2.33586.9	40.7028	5442.0157505
C2	Known	SP6	TCONS_00000010	C2.27771.15	8.85518	4708.105294
D3	Known	SP6	TCONS_00000010	D3.29700.10	47.4892	3972.309417
B2	CCS	pSP9	TCONS_00000011	B2.33586.1	1.90303	5442.0157505
C2	CCS	pSP9	TCONS_00000011	C2.27771.1	5.78398	4708.105294
D3	CCS	pSP9	TCONS_00000011	D3.29700.1	2.97602	3972.309417
B2	CCS	pSP7	TCONS_00000012	B2.33586.13	3.01437	5442.0157505
B2	Known	SP5	TCONS_00000013	B2.33586.15	26.9434	5442.0157505
C2	Known	SP5	TCONS_00000013	C2.27771.17	16.8507	4708.105294
B2	CCS	pSP12	TCONS_00000014	B2.33586.2	79.6986	5442.0157505
C2	CCS	pSP12	TCONS_00000014	C2.27771.4	12.7991	4708.105294
D3	CCS	pSP12	TCONS_00000014	D3.29700.3	4.62553	3972.309417
B2	Novel	pSP14	TCONS_00000015	B2.33586.6	7.87638	5442.0157505
D3	CCS	pSP11	TCONS_00000016	D3.29700.4	4.47211	3972.309417
